"name","birth_place","death_place","gender","citizenship","occupation_str","birth_year","death_year"
"John Lee","Frederick","New York City","male","United States of America","politician,composer,record producer,musician,jazz musician,actor,television actor,film actor,barrister,businessperson,civil servant,manager,painter,astronomer,mathematician,numismatist,antiquarian,researcher,artist,singer,pianist,songwriter,guitarist,judge,Go player,university teacher,writer,opinion journalist,badminton player,architect,academic,master builder,philanthropist,journalist,novelist,association football player,ice hockey player,television presenter,pathologist,American football player,screenwriter,television producer,voice actor,film director,film producer,polymath,police officer,inventor,hurler,cricketer,engraver,geologist,taekwondo athlete,economist,physician,priest,background artist,engineer,rower,trade unionist,military personnel","1788","1871"
"Brassai","Bra?ov","Nice","male","Hungary","photographer,writer,illustrator,painter,sculptor,botanist","1899","1984"
"Joseph Cornell","Nyack","New York City","male","United States of America","painter,sculptor,filmmaker,film director,textile artist,drawer,politician,sailor","1903","1972"
"Luigi Serafini","Magliano Sabina","Rome","male","Kingdom of Italy","Catholic priest,Catholic bishop,Catholic deacon,writer,architect,illustrator,basketball player","1808","1894"
"Pierre Molinier","Agen","Bordeaux","male","France","photographer,poet,painter","1900","1976"
"Yves Tanguy","Bannalec","Bannalec","male","France","politician,illustrator,painter,sculptor,drawer,beekeeper,association football player","1876","1943"
"Felicien Rops","Namur","Essonnes","male","Belgium","photographer,illustrator,comics artist,painter,caricaturist,designer,etcher,printmaker,drawer","1833","1898"
"Leon Spilliaert","Ostend","City of Brussels","male","Belgium","author,illustrator,painter,visual artist,drawer,lithographer","1881","1946"
"Francesco Clemente","Naples",,"male","Italy","photographer,writer,illustrator,painter,drawer,pastellist,biomedical engineer","1952","1983"
"Andreas Gursky","Leipzig",,"male","Germany","photographer,teacher,artist,photojournalist,university teacher","1955",
"Julie Mehretu","Addis Ababa",,"female","United States of America","artist,painter,visual artist,printmaker,architectural draftsperson","1970",
"Manuel Alvarez Bravo","Mexico City","Mexico City","male","Mexico","photographer","1902","2002"
"Wolfgang Tillmans","Remscheid",,"male","Germany","photographer,artist,printmaker","1968",
"Alice Rahon","Chenecey-Buillon","Mexico City","female","France","writer,poet,illustrator,painter","1904","1987"
"Grace Pailthorpe","St Leonards",,"female","United Kingdom","surgeon,painter,psychoanalyst","1883","1971"
"Mladen Stilinovic","Belgrade","Pula","male","Croatia","photographer,painter,installation artist,video artist,conceptual artist","1947","2016"
"Glenn Brown","Hexham",,"male","United Kingdom","painter,sculptor,printmaker,architect,basketball player","1966","1932"
"Jasper Johns","Augusta",,"male","United States of America","photographer,artist,illustrator,painter,sculptor,costume designer,graphic artist,visual artist,designer,printmaker,association football player","1930",
"Kent Monkman","St. Marys",,"two-spirit","Canada","artist,filmmaker,film director,new media artist","1965",
"Cornelia Parker","Cheshire",,"female","United Kingdom","sculptor,printmaker,installation artist","1956",
"Dominique Gonzalez-Foerster","Strasbourg",,"female","France","photographer,artist,performing artist,sculptor,creator,film director,printmaker,installation artist,video artist","1965",
"Felix Gonzalez-Torres","Guáimaro","Miami","male","United States of America","photographer,painter,sculptor,visual artist,printmaker,installation artist,conceptual artist","1957","1996"
"Howardena Pindell","Philadelphia",,"female","United States of America","artist,illustrator,painter,visual artist","1943",
"Jammie Holmes","Thibodaux",,"male",,"painter","1984",
"Lara Almarcegui","Zaragoza City",,"female","Spain","photographer,visual artist,conceptual artist","1972",
"Martha Rosler","New York City",,"female","United States of America","photographer,artist,television producer,exhibition curator,university teacher,visual artist,performance artist,art theorist,installation artist,video artist,collagist,video installation artist","1943",
"Mierle Laderman Ukeles","Denver",,"female","United States of America","artist","1939",
"Tadashi Kawamata","Mikasa",,"male","Japan","photographer,painter,sculptor,university teacher,visual artist","1953",
"Cameron Platter","Johannesburg",,"male","South Africa","artist,printmaker","1978",
"Elina Brotherus","Helsinki",,"female","Finland","photographer,video artist","1972",
"Gian Maria Tosatti","Rome",,"male","Italy","visual artist","1980",
"Joseph Dadoune","Nice",,"male","France","plastic artist","1975",
"Lalla Essaydi","Marrakesh",,"female","Saudi Arabia","photographer,painter,visual artist","1956",
"Enrique Martínez Celaya","Nueva Paz",,"male","United States of America","photographer,painter,sculptor","1964",
"John Currin","Boulder",,"male","United States of America","painter,drawer","1962",
"Beeple","Fond du Lac",,"male","United States of America","graphic designer,visual artist,video jockey,NFT artist","1981",
"Maya Lin","Athens",,"female","United States of America","architect,sculptor,landscape architect,printmaker,land artist","1959",
"Billy Childish","Chatham",,"male","United Kingdom","writer,composer,poet,guitarist,painter,novelist","1959",
"Otto Muehl","Grodnau","Moncarapacho","male","Austria","painter,film director","1925","2013"
"Tal R","Tel Aviv",,"male","Israel","painter,graphic artist,film actor,collagist","1967",
"Barbara Chase-Riboud","Philadelphia",,"female","United States of America","writer,poet,artist,painter,sculptor,art historian,novelist,drawer","1939",
"Michel Blazy","Monaco",,"male","France","artist,installation artist","1966",
"Lisa Yuskavage","Philadelphia",,"female","United States of America","painter,printmaker","1962",
"David Batchelor","Dundee",,"male","United Kingdom","writer,artist,sculptor,visual artist,drawer,installation artist,engineer,audio engineer,researcher","1955","2005"
"Leo Villareal","Albuquerque",,"male","United States of America","sculptor,digital artist,installation artist","1967",
"Mark Ryden","Medford",,"male","United States of America","painter","1963",
"Darren Waterston",,,"male","United States of America","painter","1965",
"Tania Bruguera","Havana",,"female","Cuba","artist,painter,theatrical director,performance artist,installation artist","1968",
"Callum Innes","Edinburgh",,"male","United Kingdom","painter","1962",
"Simone Forti","Florence",,"female","United States of America","writer,composer,artist,ballet dancer,choreographer,film director,dancer,music educator","1935",
"Ay-O","Ibaraki Prefecture",,"male","Japan","graphic designer,illustrator,painter","1931",
"Konrad Lueg","Düsseldorf","Düsseldorf","male","Germany","illustrator,painter,gallerist","1939","1996"
"Manfred Kuttner","Greiz","Düsseldorf","male","Germany","painter","1937","2007"
"Daniel Richter","Eutin",,"male","Germany","actor,teacher,artist,painter,university teacher,architectural draftsperson,drawer,trade unionist,writer,mime artist,autobiographer,researcher,anthropologist","1962",
"Angela Bulloch","Rainy River",,"female","Canada","sculptor,visual artist,printmaker,installation artist,sound artist,conceptual artist","1966",
"Ann Hamilton","Orsett",,"female","United Kingdom","actor,television actor,photographer,professor,artist,sculptor,creator,performance artist,printmaker,video artist,conceptual artist,researcher","1939","1965"
"Charles Long","London","Framingham","male","Kingdom of Great Britain","writer,politician,art collector,American football player,sculptor,printmaker,priest,judge,plantation owner,religious studies scholar,researcher,teacher,drummer,basketball player","1796","1861"
"Jessica Stockholder","Seattle",,"female","United States of America","sculptor,visual artist,printmaker,installation artist","1959",
"Jorge Pardo","Madrid",,"male","Spain","saxophonist,jazz musician,architect,artist,illustrator,painter,sculptor,visual artist,computer artist,singer","1956",
"Bahia Shehab","Beirut",,"female","Lebanon","university teacher,art historian,visual artist,designer","1977",
"Ming Smith","Detroit",,"female","United States of America","photographer,visual artist","1951",
"Tony Cragg","Liverpool",,"male","United Kingdom","painter,sculptor,university teacher,printmaker,installation artist,conceptual artist","2012",
"Yoshitomo Nara","Hirosaki",,"male","Japan","photographer,musician,illustrator,painter,sculptor,printmaker,architectural draftsperson,installation artist","1959",
"Song Dong","Beijing",,"male","People's Republic of China","photographer,artist,sculptor,performance artist,installation artist,video artist,conceptual artist","1966",
"William Kentridge","Johannesburg",,"male","South Africa","actor,artist,painter,filmmaker,creator,film director,scenographer,theatrical director,visual artist,director,drawer,video artist","1955",
"Jenny Holzer","Gallipolis",,"female","United States of America","artist,painter,sculptor,visual artist,drawer,installation artist,conceptual artist","1950",
"Marcel Wanders","Boxtel",,"male","Kingdom of the Netherlands","architect,graphic designer,jewelry designer,designer,industrial designer,ceramics designer","1963",
"Vanessa Beecroft","Genoa",,"female","Italy","photographer,painter,sculptor,performance artist,video artist,serigrapher,object artist","1969",
"Orlan","Saint-Étienne",,"female","France","photographer,artist,sculptor,film director,new media artist,performance artist,digital artist,installation artist,video artist,body artist","1947",
"Janet Cardiff","Brussels",,"female","Canada","artist,film producer,new media artist,installation artist,video artist,sound artist","1957",
"Sarah Sze","Boston",,"female","United States of America","sculptor,university teacher,printmaker","1969",
"Carrie Mae Weems","Portland",,"female","United States of America","photographer,installation artist,video artist","1953",
"Philippe Parreno","Oran",,"male","France","photographer,visual artist,drawer,video artist,conceptual artist","1964",
"Zanele Muholi","Umlazi",,"non-binary","South Africa","photographer,social activist","1972",
"Mimmo Jodice","Naples",,"male","Italy","photographer","1934",
"Joan Jonas","New York City",,"female","United States of America","artist,television producer,university teacher,choreographer,film director,visual artist,multimedia artist,performance artist,video artist","1936",
"Simon Starling","Epsom",,"male","United Kingdom","photographer,artist,sculptor,conceptual artist","1967",
"Kutlu? Ataman","Istanbul",,"male","Turkey","screenwriter,photographer,cinematographer,painter,film director,video artist","1961",
"John Latham","Eltham","Winchester","male","Kingdom of Great Britain","naturalist,writer,physician,zoologist,illustrator,biologist,ornithologist,scientific illustrator,judge,lawyer,politician,diplomat,intelligence officer,lacrosse player,military personnel,sculptor,visual artist,performance artist,conceptual artist,physicist,climatologist,poet,researcher,university teacher","1740","1837"
"Robin Rhode","Cape Town",,"male","South Africa","photographer,graphic designer,graphic artist,visual artist,performance artist,video artist","1976",
"Anne Hardy",,,"female","United Kingdom","photographer,researcher,academic,historian,university teacher","1970","http"
"Rosa Barba","Agrigento",,"female","Italy","screenwriter,actor,artist,television producer,filmmaker,film director,visual artist,director,video artist","1972",
"Karla Black","Alexandria",,"female","United Kingdom","sculptor,installation artist","1972",
"Maurizio Nannucci","Florence",,"male","Italy","photographer,musician,sculptor,scenographer,visual artist,performance artist,video artist,visual poet","1939",
"Ganzeer",,,"male","Egypt","painter","1982",
"David Diao","Chengdu",,"male","United States of America","teacher,artist,printmaker","1943",
"Elke Krystufek","Vienna",,"female","Austria","photographer,painter,drawer","1970",
"Katja Novitskova","Tallinn",,"female","Estonia","artist,visual artist,installation artist","1984",
"Tony Albert","Townsville",,"male","Australia","photographer,painter","1981",
"John Gerrard","Dublin",,"male","Ireland","artist,police officer,archaeologist,geographer,infectious disease physician","1974","2003"
"Ann-Sofi Sidén","Stockholm",,"female","Sweden","painter,sculptor,multimedia artist,video artist","1962",
"Park Hyun-ki",,,"male","Japan","television producer,video artist","1942","2000"
"Jae Hoon Lee","South Korea",,"male","New Zealand","researcher,artist,contemporary artist","1973",
"Christian Louboutin","Paris",,"male","France","fashion designer","1964",
"Hussein Chalayan","Nicosia",,"male","Northern Cyprus","businessperson,costume designer,filmmaker,university teacher,fashion designer,personal stylist","1970",
"Iman Issa","Cairo",,"female","Egypt","installation artist","1979",
"Martin Margiela","Leuven",,"male","Belgium","costume designer,fashion designer","1957",
"Qiu Zhijie","Fujian",,"male","People's Republic of China","photographer,curator,university teacher,calligrapher,drawer,installation artist,video artist","1969",
"Konstantin Grcic","Munich",,"male","Germany","jewelry designer,designer,industrial designer","1965",
"Roma","Romny","Moscow","female","Soviet Union","screenwriter,actor,model,luger,politician","1915","1989"
"Katharina Grosse","Freiburg im Breisgau",,"female","Germany","artist,painter,university teacher","1961",
"José María Yturralde","Cuenca Province",,"male","Spain","painter","1942",
"Steven Claydon","Greater London",,"male","United Kingdom","actor,sculptor,film actor","1969",
"Rei Kawakubo","Tokyo",,"female","Japan","businessperson,personal stylist,designer","1942",
"Janaina Tschäpe","Dachau",,"female","Germany","photographer,television producer,painter,sculptor","1973",
"Fiona Tan","Pekanbaru",,"female","Indonesia","screenwriter,photographer,television producer,sculptor,film director,visual artist,director,installation artist,video artist","1966",
"Haegue Yang","Seoul",,"female","South Korea","sculptor,video artist","1971",
"Amalia Ulman","Buenos Aires",,"female","Spain","photographer,artist,sculptor,film director,multimedia artist","1989",
"Daniela Rossell","Mexico City",,"female","Mexico","photographer","1973",
"Thomas Houseago","Leeds",,"male","United Kingdom","sculptor,visual artist","1972",
"George Smith","White Plains","Los Angeles","male","United States of America","scientist,photographer,physicist,inventor,rugby union player,musician,association football referee,writer,orientalist,archaeologist,anthropologist,assyriologist,military chaplain,publisher,missionary,Christian minister,Anglican priest,geologist,researcher,politician,chairperson,banker,plantation owner,baseball player,American football player,coach,basketball player,cricketer,judge,priest,architect,poet,painter,financier,executioner,association football player,association football manager,businessperson,philanthropist,swimmer,carpenter,trade unionist,mycologist,lawyer,historian,biographer,journalist,athlete,theologian,civil servant,military officer,geographer,foreign correspondent,distiller,visual artist,truck driver,botanist,basketball coach,chemist,biologist,biochemist,cartoonist,art collector,physician,academic administrator,clockmaker,sculptor,university teacher,military personnel,curator,taxonomist,legislator,farmer,livestock dealer,naval officer,head coach,pioneer,horse trainer,director,rugby league player,artist,activist","1930","1983"
"Mónica Castillo",,,"female","Mexico","video artist","1961",
"Boyd Webb","Christchurch",,"male","New Zealand","photographer,film director,visual artist,director","1947",
"Nadia Kaabi-Linke","Tunis",,"female","Tunisia","artist,printmaker","1978",
"Ali Cherri","Beirut",,"male","Lebanon","screenwriter,cinematographer,film director,film producer,film editor,plastic artist","1976",
"Ma Qiusha","Beijing",,"female","People's Republic of China","visual artist","1982",
"Johanna Billing","Jönköping",,"female","Sweden","artist,television producer,film director,visual artist,video artist","1973",
"Jac Leirner","S?o Paulo",,"female","Brazil","sculptor,visual artist,textile artist","1961",
"Helmut Lang","Vienna",,"male","Austria","artist,personal stylist,designer,new media artist,drawer,sprinter,photojournalist,graphic artist","1956",
"He Xiangyu","Kuandian Manchu Autonomous County",,"male",,"contemporary artist","1986",
"Ibrahim el-Salahi","Omdurman",,"male","Sudan","diplomat,civil servant,painter,drawer","1930",
"Keith Carter","Morrilton","Asheville","male","United States of America","basketball player,comedian,swimmer,photographer,disc jockey,rapper,researcher,gymnast,coach,American football player","1976","2013"
"Loris Cecchini","Milan",,"male","Italy","artist","1969",
"Rosângela Rennó","Belo Horizonte",,"female","Brazil","photographer,visual artist","1962",
"Klara Lidén","Stockholm",,"female","Sweden","photographer,artist,performance artist,installation artist,video artist","1979",
"Hellen van Meene","Alkmaar",,"female","Kingdom of the Netherlands","photographer","1972",
"Linder Sterling","Liverpool",,"female","United Kingdom","photographer,artist,musician,designer,performance artist","1954",
"Monica Bonvicini","Venice",,"female","Italy","photographer,artist,sculptor,university teacher,drawer,director","1965",
"Imran Qureshi","Hyderabad",,"male","Pakistan","painter,researcher","1972",
"Tatiana Trouvé","Cosenza",,"female","France","painter,visual artist,installation artist","1968",
"Helen Marten","Macclesfield",,"female","United Kingdom","artist,sculptor,installation artist,video artist,silent film actor","1985",
"Nuno Ramos","S?o Paulo",,"male","Brazil","painter,installation artist,researcher","1960",
"Sudarshan Shetty","Mangaluru",,"male","India","television producer,painter,multimedia artist,performance artist,installation artist,video artist,researcher","1961",
"Susan Hiller","Tallahassee","London","female","United States of America","photographer,artist,anthropologist,multimedia artist,video artist","1940","2019"
"David Goldblatt","Randfontein","Johannesburg","male","South Africa","photographer,journalist,opinion journalist,researcher,politician","1930","2018"
"Anna Bella Geiger","Rio de Janeiro",,"female","Brazil","photographer,teacher,painter,sculptor,visual artist,printmaker","1933",
"Laura Lima","Minas Gerais",,"female","Brazil","painter,performance artist,installation artist,video artist","1971",
"Dayanita Singh","New Delhi",,"female","India","photographer,photojournalist,painter,journalist,printmaker","1961",
"Lee Bul","Yeongju",,"female","South Korea","sculptor,visual artist,installation artist","1964",
"Pawe³ Althamer","Warsaw",,"male","Poland","artist,sculptor,visual artist,performance artist,installation artist,video artist,video installation artist","1967",
"Jogen Chowdhury","Faridpur District",,"male","India","politician,painter","1939",
"Ahmed Mater","Abha",,"male","Saudi Arabia","physician,performance artist,installation artist,conceptual artist","1979",
"Mariko Mori","Tokyo",,"female","Japan","photographer,television producer,sculptor,new media artist,performance artist,installation artist,video artist,conceptual artist,volleyball player,researcher","1967",
"Josiah McElheny","United States of America",,"male","United States of America","artist,sculptor,glass artist","1966",
"Lynette Yiadom-Boakye","Greater London",,"female","United Kingdom","painter","1977",
"Cao Fei","Guangzhou",,"female","People's Republic of China","photographer,artist,television producer,sculptor,installation artist,video artist","1978",
"Li Hongbo","Siping",,"male","People's Republic of China","sculptor","1974",
"Lynn Hershman Leeson","Cleveland",,"female","United States of America","screenwriter,photographer,artist,television producer,filmmaker,film director,film producer,visual artist,performance artist,installation artist,theorist,computer artist","1941",
"Regina Silveira","Porto Alegre",,"female","Brazil","photographer,illustrator,exhibition curator,painter,university teacher,printmaker","1939",
"Nick Cave","Fulton",,"male","United States of America","writer,artist,sculptor,costume designer,fashion designer,textile artist,performance artist,sound artist,screenwriter,actor,composer,singer,pianist,singer-songwriter,musician,songwriter,film director,novelist,librettist,researcher","1959",
"Tatsuo Miyajima","Tokyo",,"male","Japan","teacher,painter,sculptor,visual artist,new media artist,performance artist,drawer,video artist,conceptual artist","1931","2015"
"Subodh Gupta","India",,"male","India","artist,painter,sculptor,film director,researcher","1964",
"Luigi Ontani","Grizzana Morandi",,"male","Italy","painter,sculptor,performance artist,conceptual artist","1943",
"Anthony McCall","London",,"male","United States of America","filmmaker,visual artist","1946",
"Louise Lawler","Bronxville",,"female","United States of America","photographer,visual artist","1947",
"Walid Raad","Chbaniye",,"male","Lebanon","photographer,television producer,performing artist,university teacher,creator,visual artist,multimedia artist,video artist","1967",
"Ugo Rondinone","Brunnen",,"male","Switzerland","photographer,painter,sculptor,visual artist,multimedia artist,video artist,conceptual artist","1962",
"Patricia Piccinini","Freetown",,"female","Australia","photographer,artist,sculptor","1965",
"Adel Abdessemed","Constantine",,"male","France","photographer,painter,sculptor,scenographer,visual artist,drawer","1971",
"Bruce Davidson","Rome",,"male","United States of America","event rider,photographer,economist,artist,photojournalist,camera operator,filmmaker,politician,Australian rules football player,researcher,equestrian","1949",
"Gillian Wearing","Birmingham",,"female","United Kingdom","photographer,artist,television producer,sculptor,film director,visual artist,video artist,conceptual artist","1963",
"Jitish Kallat","Mumbai",,"male","India","artist,painter","1974",
"Valie Export","Linz",,"female","Austria","screenwriter,photographer,television producer,photojournalist,painter,sculptor,filmmaker,university teacher,film director,visual artist,multimedia artist,new media artist,performance artist,installation artist,video artist","1940",
"Zeng Fanzhi","Wuhan",,"male","People's Republic of China","painter","1964",
"Zhan Wang","Beijing",,"male","People's Republic of China","sculptor,botanist,researcher,film actor,dub actor","1962","2000"
"Douglas Gordon","Glasgow","Winchester","male","United Kingdom","photographer,artist,painter,sculptor,filmmaker,film director,new media artist,printmaker,video artist,conceptual artist,video installation artist,screenwriter,film producer,director,producer,diplomat,aristocrat,archaeologist","1966","1998"
"Ryan McGinley","Ramsey",,"male","United States of America","photographer","1977",
"Isaac Julien","London",,"male","United Kingdom","artist,filmmaker,university teacher,film director,film producer,visual artist,director,installation artist","1960",
"Zhang Huan","Anyang","Hu Xian","male","People's Republic of China","photographer,artist,painter,sculptor,scenographer,theatrical director,performance artist,printmaker,physician,gentry,teacher,politician,rower","1965","1202"
"Ross Bleckner","New York City",,"male","United States of America","artist,painter","1949",
"Mimmo Paladino","Paduli",,"male","Italy","illustrator,painter,sculptor,jewelry designer,film director,scenographer,production designer,drawer","1948",
"Jeremy Deller","London",,"male","United Kingdom","artist,filmmaker,performance artist,video artist","1966",
"Juergen Teller","Erlangen",,"male","Germany","photographer,university teacher,fashion photographer","1964",
"Urs Fischer","Triengen",,"male","Switzerland","association football manager,association football player,painter,sculptor,visual artist,architectural draftsperson,drawer,installation artist,conceptual artist,musician,researcher,librarian,art historian,musicologist","1966",
"Tacita Dean","Canterbury",,"female","United Kingdom","photographer,artist,filmmaker,film director,video artist,conceptual artist","1965",
"Nobuyoshi Araki","Tokyo",,"male","Japan","photographer,lawyer,legal counselor,economist","1940",
"Martin Parr","Negros Occidental",,"male","United Kingdom","photographer,actor,cinematographer,artist,photojournalist,journalist,director,deltiologist","1952",
"Doug Aitken","Redondo Beach",,"male","United States of America","photographer,television producer,multimedia artist,printmaker,installation artist,video artist","1968",
"Jon Rafman","Montreal",,"male","Canada","artist,filmmaker,essayist","1981",
"Daid? Moriyama","Ikeda",,"male","Japan","photographer,writer,artist,photojournalist,visiting professor","1938",
"Andrea Zittel","Escondido",,"female","United States of America","artist,sculptor,drawer,installation artist,video artist","1965",
"Pipilotti Rist","Grabs",,"female","Switzerland","screenwriter,photographer,cinematographer,television producer,sculptor,film director,visual artist,multimedia artist,installation artist,video artist,video installation artist","1962",
"Doris Salcedo","Bogotá",,"female","Colombia","painter,sculptor","1958",
"Cai Guo-Qiang","Quanzhou",,"male","People's Republic of China","photographer,artist,painter,sculptor,performance artist,drawer,installation artist,contemporary artist","1957",
"Frank Gehry","Toronto",,"male","Canada","architect","1929",
"Sarah Lucas","Holloway",,"female","United Kingdom","photographer,artist,sculptor,visual artist,performance artist,installation artist,researcher","1962","1809"
"Taryn Simon","New York City",,"female","United States of America","photographer","1975",
"Grayson Perry","Chelmsford",,"male","United Kingdom","artist,filmmaker,embroiderer,graphic artist,ceramicist,printmaker","1960",
"Liu Wei","Shanghai","Chengtu","male","People's Republic of China","military personnel,programmer,video game developer,bobsledder,violinist,cooking researcher,researcher,table tennis player,basketball player,politician,track cyclist,comics artist,actor,xiangsheng performer,visual artist,conceptual artist,singer,pianist,businessperson,curler,wheelchair curler,sport cyclist,association football player,boxer,ice hockey player,presenter,economist,artist,gentry,poet","1960","1998"
"Xu Bing","Chongqing",,"male","People's Republic of China","painter,sculptor,university teacher,graphic artist,calligrapher,printmaker,installation artist,politician","1955","1972"
"Douglas Coupland","Rheinmünster",,"male","Canada","screenwriter,writer,sculptor,fashion designer,designer,novelist,science fiction writer","1961",
"Shepard Fairey","Charleston",,"male","United States of America","graphic designer,illustrator,graphic artist,muralist,designer,new media artist,graffiti artist,activist,serigrapher","1970",
"Christine Borland","Darvel",,"female","United Kingdom","artist,visual artist,multimedia artist","1965",
"Mark Wallinger","Chigwell",,"male","United Kingdom","photographer,sculptor,installation artist,video artist","1959",
"Michael Nyman","Stratford",,"male","United Kingdom","composer,pianist,music critic,film score composer,musicologist,recording artist,researcher","1944",
"Gavin Turk","Guildford",,"male","United Kingdom","photographer,artist,painter,sculptor,printmaker,conceptual artist","1967",
"Aa","Tilburg",,"male","Ancient Egypt","architect,construction manager,botanist,mycologist","http","http"
"Javier Calleja","Alcalá de Henares",,"male","Spain","association football player,researcher,sculptor","1978",
"Delia Gonzalez","Anthony",,"female","United States of America","boxer,musician,instrumentalist,performance artist,drawer","1970",
"Kim West","Gloucester",,"female","United Kingdom","fashion designer,visual artist,researcher","1959",
"José Parlá","Miami",,"male",,"artist","1973",
"Laura Ford","Cardiff",,"female","United Kingdom","sculptor,researcher","1961",
"Michael Craig-Martin","Dublin",,"male","Ireland","illustrator,painter,sculptor,university teacher,drawer,installation artist,serigrapher","1941",
"Braco Dimitrijeviæ","Sarajevo",,"male","Bosnia and Herzegovina","photographer,visual artist,conceptual artist","1948",
"Kirsten Justesen","Odense",,"female","Kingdom of Denmark","sculptor,film director,performance artist,installation artist","1943",
"Kendell Geers","Johannesburg",,"male","Belgium","photographer,artist,visual artist,video artist","1968",
"Vija Celmins","Riga",,"female","United States of America","painter,visual artist,printmaker,drawer","1938",
"Peter Halley","New York City",,"male","United States of America","photographer,artist,illustrator,painter,university teacher,graphic artist,researcher","1953",
"Joan Fontcuberta","Barcelona","Barcelona","male","Spain","photographer,photojournalist,visual artist,conceptual artist,translator,university teacher","1955","2018"
"Ricky Swallow","San Remo",,"male","Australia","sculptor,drawer","1974",
"Jan Fabre","Antwerp",,"male","Belgium","photographer,actor,writer,composer,playwright,artist,painter,sculptor,costume designer,lighting designer,choreographer,creator,scenographer,theatrical director,visual artist,director,designer,performance artist,drawer,installation artist,video artist,conceptual artist,scenic designer","1958",
"Paul McCarthy","Salt Lake City",,"male","United States of America","photographer,television producer,illustrator,painter,sculptor,filmmaker,creator,performance artist,architectural draftsperson,installation artist,video artist,association football player,actor,television actor,translator,mathematician,artist,lecturer,rugby union player,rugby union coach,researcher,politician","1945","2017"
"Charlotte Moorman","Little Rock","New York City","female","United States of America","composer,artist,musician,performance artist,cellist","1923","1991"
"Thomas Ruff","Zell am Harmersbach",,"male","Germany","photographer,photojournalist,university teacher,visual artist","1958",
"Rafael Lozano Hemmer","Mexico City",,"male","Canada","architect,painter,sculptor,multimedia artist,new media artist,digital artist","1967",
"Diango Hernández","Sancti Spíritus",,"male","Cuba","painter,visual artist,designer,drawer,installation artist,video artist","1970",
"Xaviera Simmons","New York City",,"female","United States of America","photographer,visual artist","1974",
"Sophie Calle","Paris",,"female","France","photographer,writer,artist,biographer,choreographer,film director,visual artist,installation artist,conceptual artist","1953",
"Eija-Liisa Ahtila","Hämeenlinna",,"female","Finland","photographer,television producer,photojournalist,filmmaker,film director,video artist","1959",
"Oscar Mu?oz","Popayán",,"male","Colombia","visual artist,baseball player,amateur wrestler,businessperson,chief executive officer,association football player","1951",
"Claude Closky","Paris",,"male","France","photographer,visual artist,video artist,conceptual artist,computer artist","1963",
"Gilberto Zorio","Andorno Micca",,"male","Italy","painter,sculptor,visual artist,drawer","1944",
"Nina Beier","Aarhus",,"female","Kingdom of Denmark","visual artist,performance artist,installation artist","1975",
"Bojan Šarèeviæ","Belgrade",,"male","Serbia","artist,video artist","1974",
"Georg Herold","Jena","Stockholm","male","Germany","photographer,painter,sculptor,university teacher,visual artist,printmaker,installation artist,video artist,brazier,bellfounder","1947","1871"
"Andy Goldsworthy","Sale",,"male","United Kingdom","photographer,artist,sculptor,environmentalist,land artist,environmental artist","1956",
"Jave Yoshimoto","Japan",,"male",,"painter","1974",
"Peggy Ahwesh","Canonsburg",,"female","United States of America","television producer,camera operator,film director","1954",
"Emil Lukas","Pittsburgh",,"male","United States of America","sculptor","1964",
"Peter Saul","San Francisco",,"male","United States of America","painter,drawer,physician,dancer","1934",
"Sarah Morris","London",,"female","United States of America","photographer,painter,filmmaker,film director,printmaker,video artist,farmer,nun,beekeeper,researcher,needleworker,concept artist,botanist","1967","1930"
"Thomas Struth","Geldern",,"male","Germany","photographer,photojournalist,visual artist","1954",
"Josef Dabernig","Kötschach-Mauthen",,"male","Austria","photographer,sculptor,filmmaker,film director,visual artist,video artist","1956",
"Walter Pichler","Bad Reichenhall","Vienna","male","Germany","customs officer,biathlete,architect,painter,sculptor,designer,drawer","1959","2012"
"Martin Boyce","Hamilton",,"male","United Kingdom","artist,sculptor,installation artist","1967",
"Alan Kane",,,"male","United Kingdom","politician,athletics competitor,visual artist,Gaelic football player","2000","2021"
"Barthélémy Toguo","Mbalmayo",,"male","Cameroon","photographer,painter,sculptor,jewelry designer,visual artist,printmaker","1967",
"Jim Supangkat","Makassar",,"male","Indonesia","curator,sculptor","1948",
"Friedrich Kunath","Chemnitz",,"male","Germany","painter,drawer,installation artist,video artist","1974",
"David Byrne","Dumbarton",,"male","United States of America","screenwriter,photographer,actor,writer,composer,singer,record producer,singer-songwriter,musician,songwriter,guitarist,film score composer,film director,film producer,director,blogger,film actor,printmaker,music journalist,lawyer,politician,association football player,association football manager,painter,athlete,university teacher,sociologist,academic,researcher,basketball player,research audiologist","1952","1990"
"Allyson Vieira",,,"female","United States of America","artist",,
"Claudio Parmiggiani","Luzzara",,"male","Italy","visual artist,performance artist,conceptual artist,visual poet","1943",
"Rebecca Warren","London",,"female","United Kingdom","photographer,painter,sculptor,visual artist,actor,rower","1965","1843"
"Maria Loboda","Poland",,"female","Poland","artist,sculptor,installation artist","1979",
"Terry Adkins","Washington, D.C.","Brooklyn","male","United States of America","photographer,musician,sculptor,performance artist,video artist,dogsled musher","1953","2014"
"Dorothy Cross","Cork",,"female","Ireland","photographer,artist,sculptor,new media artist,installation artist,video artist,video installation artist","1956","1967"
"Marco Poloni","Amsterdam",,"male","Italy","photographer,artist,film director,researcher","1962",
"Nicol? Degiorgis",,,"male",,"photographer","1985",
"Rä di Martino","Rome",,"female","Italy","video artist","1975",
