"name","birth_place","death_place","gender","citizenship","occupation_str","birth_year","death_year"
"Mircea Cantor","Oradea",,"male","Romania","animator,painter,sculptor,visual artist,drawer,installation artist,video artist,conceptual artist","1977",
"Mona Hatoum","Beirut",,"female","United Kingdom","television producer,sculptor,jewelry designer,film director,visual artist,performance artist,installation artist,video artist","1952",
"Olivier Mosset","Bern",,"male","Switzerland","photographer,painter,printmaker","1944",
"Paul Thek","Brooklyn","United States of America","male","United States of America","photographer,painter,sculptor,visual artist,new media artist,drawer","1933","1988"
"Pierre Huyghe","Paris",,"male","France","artist,visual artist,video artist","1962",
"Richard Prince","Panama Canal Zone",,"male","United States of America","photographer,illustrator,painter,sculptor,collagist,assemblage artist,journalist,politician,researcher,producer","1949",
"Rirkrit Tiravanija","Buenos Aires",,"male","Thailand","photographer,illustrator,painter","1961",
"Robert Barry","New York City",,"male","United States of America","photographer,illustrator,painter,visual artist,drawer,installation artist,conceptual artist,musician,politician,researcher,ophthalmologist,Catholic priest,Catholic bishop,actor","1936","2018"
"Robert Filliou","Sauve","Les Eyzies-de-Tayac-Sireuil","male","France","photographer,poet,painter,sculptor,film director,visual artist,director,drawer","1926","1987"
"Robert Gober","Wallingford",,"male","United States of America","photographer,artist,painter,sculptor,visual artist,designer,printmaker,drawer,installation artist","1954",
"Robert Heinecken","Denver",,"male","United States of America","photographer,university teacher","1931","2006"
"Stanley Brouwn","Paramaribo","Amsterdam","male","Kingdom of the Netherlands","artist,painter,visual artist,drawer,conceptual artist","1935","2017"
"Stephen Prina","Galesburg",,"male","United States of America","photographer,artist,printmaker,drawer,installation artist,conceptual artist","1954",
"Thomas Hirschhorn","Bern",,"male","Switzerland","sculptor,visual artist","1957",
"Tracey Emin","Croydon",,"female","United Kingdom","photographer,salesperson,painter,sculptor,film director,textile artist,printmaker,architectural draftsperson,drawer,installation artist,video artist,conceptual artist","1963",
"Vik Muniz","S?o Paulo",,"male","Brazil","photographer,writer,painter,sculptor,film director,visual artist,architectural draftsperson,drawer,land artist","1961",
"Wade Guyton","Hammond",,"male","United States of America","painter,graphic artist,visual artist,conceptual artist","1972",
"Wolfgang Laib","Metzingen",,"male","Germany","painter,sculptor,drawer,installation artist,conceptual artist","1950",
"Yoko Ono","Tokyo",,"female","Japan","photographer,composer,singer,painter,sculptor,filmmaker,film director,visual artist,performance artist,peace activist,conceptual artist,recording artist,actor,seiy?,judoka","1933",
"Francois Morellet","Cholet","Cholet","male","France","artist,painter,sculptor,jewelry designer,visual artist,printmaker,drawer,installation artist","1926","2016"
"Ellen Gallagher","Providence",,"female","United States of America","painter,printmaker,architectural draftsperson,drawer,collagist","1965",
"Nan Goldin","Washington, D.C.",,"female","United States of America","screenwriter,photographer,artist,film director,multimedia artist,printmaker,documentarian","1953",
"Yinka Shonibare","London",,"male","United Kingdom","photographer,artist,painter,sculptor,video installation artist","1962",
"Eric Fischl","New York City",,"male","United States of America","printer,illustrator,painter,sculptor,graphic artist,drawer,art educator","1948",
"Erro","Ólafsvík",,"male","France","painter,sculptor,filmmaker,visual artist,performance artist,printmaker,singer-songwriter","1932",
"Jane Wilson","Seymour","New York City","female","United States of America","artist,painter,designer,suffragette,trade unionist,teacher,photographer,video artist,entomologist,writer,school teacher","1924","2015"
"John Miller","Jamaica Hospital Medical Center","Duluth","male","United States of America","actor,writer,businessperson,politician,entrepreneur,merchant,chief executive officer,investor,television producer,business magnate,film producer,restaurateur,real estate entrepreneur,conspiracy theorist,game show host,inventor,editor,lawyer,diplomat,illustrator,ornithologist,botanist,scientific illustrator,character designer,botanical illustrator,professional wrestler,association football player,rower,horse trainer,jockey,military personnel,bassoonist,judge,journalist,painter,novelist,sport cyclist,engineer,civil engineer,baseball player,deputy commissioner,cleric,bassist,American football player,teacher,pastor,theologian,cricketer,basketball coach,photographer,sculptor,university teacher,art historian,visual artist,art critic,association football manager,researcher,weightlifter,physician,medical researcher,radiologist,pathologist,printer,publisher,basketball player,Christian minister,musician,astrophysicist,academic,mathematician,professor of mathematics,trader,linguist,veterinarian,chemist,pharmacologist,ambassador,historian,Foreign Service officer,minister,engraver,artist,radio personality,documentarian,barrister,director,biologist,trumpeter,music educator,professional golfer,rancher,entomologist,architect,non-fiction writer,contract attorney,runner,consultant,sunday school teacher,electrical engineer,data scientist,council member,magazine editor","1946","1908"
"Marlene Dumas","Cape Town",,"female","South Africa","artist,painter,visual artist,architectural draftsperson,drawer,lithographer,conceptual artist,collagist","1953",
"Peter Dreher","Mannheim",,"male","Germany","graphic designer,painter,university teacher,graphic artist","1932","2020"
"Giacomo Manzu","Bergamo","Aprilia","male","Italy","artist,sculptor,graphic artist,visual artist,printmaker","1908","1991"
"Julio Gonzalez","Barcelona","Arcueil","male","Spain","artist,illustrator,painter,sculptor,jewelry designer,visual artist,ceramicist,drawer,arsonist,fencer,baseball player,politician,researcher","1876","1942"
"Paul Cezanne","Aix-en-Provence","Aix-en-Provence","male","France","painter,printmaker,drawer,lithographer","1839","1906"
"Hannah Hoch","Gotha","West Berlin","female","West Germany","photographer,artist,painter,graphic artist,drawer,collagist","1889","1978"
"Alice Aycock","Harrisburg",,"female","United States of America","artist,sculptor,drawer,installation artist,conceptual artist,land artist","1946",
"Franz Erhard Walther","Fulda",,"male","Germany","artist,sculptor,university teacher,visual artist,drawer,video artist,conceptual artist","1939",
"James Turrell","Los Angeles",,"male","United States of America","photographer,mathematician,psychologist,artist,painter,sculptor,visual artist,architectural draftsperson,installation artist,land artist,environmental artist","1943",
"Michael Heizer","Berkeley",,"male","United States of America","painter,sculptor,printmaker,drawer,land artist","1944",
"Richard Long","Chicago","Los Angeles","male","United States of America","actor,television actor,film actor,photographer,artist,painter,sculptor,visual artist,architectural draftsperson,drawer,installation artist,conceptual artist,land artist,environmental artist,politician,television presenter,journalist,solicitor,researcher,audio engineer,military personnel","1927","1974"
